,title,area,numberOfRooms,price,town,district
118,ARNAVUTKÖY MUSTAFA KEMAL PAŞA MAHALLESİ DAİRELER SIFIR,100,2+1,1.100.000,ArnavutköyMustafa Kemal Paşa Mh,.
119,DAF YAPIDAN SİTE İÇERSİNDE 2+1 FIRSAT LÜX DAİRE,110,2+1,1.225.000,HaraççıHaraççı Mh,.
120,FIRSAT DAİRE. (SON FİYAT),75,2+1,895.000,ArnavutköyHadımköy Mh,.
121,ACİLL MERKEZ CAMİNİN ARKASI 2+1 75M2 FIRSAT YÜKSEK GİRİŞ DAİRE,75,2+1,745.000,ArnavutköyArnavutköy Merkez Mh,.
122,KANAL 'İSTANBUL' HAVALİMANI FLYPARK 3+1 SATILIK DELÜXE DAİRE,140,3+1,1.999.000,Arnavutköyİslambey Mh,.
123,ARNAVUTKÖY İSLAMBEYDE GENİŞ DUBLEX,220,5+1,1.550.000,Arnavutköyİslambey Mh,.
124,ME/SA GAYRIMENKÜL İNŞAAT ARNAVUTKÖYDE SATILK DAİRE,110,2+1,695.000,Arnavutköyİslambey Mh,.
125,MUHTEŞEM KONUMLU !!! HADIMKÖY MERKEZDE 3+1 DAİRE !!! موقع مثالي,120,3+1,1.325.000,Hadımköy(Boyalık)Hastane Mah,.
126,ARNAVUTKÖY BOĞAZKÖYDE ARAÇ TAKASINA UYGUN 4+2 DULEKS DAİRE,170,4+2,1.600.000,BoğazköyBoğazköy İstiklal Mh,.
127,ACİLL!!!MERKEZİN GOBEGİNDE DUBLEX,280,6+2,1.490.000,ArnavutköyArnavutköy Merkez Mh,.
128,Arnavutköy İslam Bey Mah de 2+1 Lüx Sıfır Bahçe Katı,82,2+1,575.000,Arnavutköyİslambey Mh,.
129,YİLDİRİM BEYAZİT CADDESİNİN YANİNDA 4+2 170m2 DUBLEX DAİRE,200,2+1,1.430.000,ArnavutköyAnadolu Mah,.
130,ARNAVUTKÖY MERKEZDE HALK BANKASI KARŞISINDA SATILIK 2+1 DAİRE,100,2+1,1.060.000,ArnavutköyArnavutköy Merkez Mh,.
131,Suta Emlak dan Deliklikaya Kiptaş A blok ta 2+1,84,2+1,1.150.000,Hadımköy(Boyalık)Deliklikaya Mah,.
132,ERPAYDAN MERKEZE YAKIN YÜKSEK GİRİŞ ( amerikan mutfaklı ),80,2+1,650.000,ArnavutköyMustafa Kemal Paşa Mh,.
133,''KAPLAN İNŞAAT''DAN HARAÇÇI DA SATILIK 2+2 TERS DUBLEKS,150,2+2,760.000,HaraççıHaraççı Mh,.
134,HASMEKSTAR İNŞAATDAN UTRA LÜKS TERS DUBLEKS DAİRE TAŞOLUKDA,190,4+2,1.000.000,TaşolukTaşoluk Mh,.
135,TAŞKINCAN inşaattan satılık dubleks daireler,165,2+1,1.700.000,ArnavutköyYavuz Selim Mah,.
136,ARNAVUTKÖY MUSTAFA KEMAL PAŞA MAH SATILIK 85 M2 2+1 YÜKSEK GİRİŞ,85,2+1,830.000,ArnavutköyMustafa Kemal Paşa Mh,.
137,SAHİBİNDEN SATILIK DAIRE,95,2+1,1.080.000,ArnavutköyHadımköy Mh,.
138,DEMİR GAYRİMENKUL'den satılık 2+1 çarşı'nın dibinde bim üstü,100,2+1,1.100.000,Hadımköy(Boyalık)Hastane Mah,.
139,''KAPLAN İNŞAAT''DAN ARNAVUTKÖY MERKEZ DE SATILIK 2+1 90 M DAİRE,95,2+1,1.100.000,ArnavutköyArnavutköy Merkez Mh,.
140,"VADİ PARKTA SATILIK 4+2 EŞSİZ,MANZARALI DUBLEKS DAİRE",195,4+2,1.800.000,ArnavutköyMustafa Kemal Paşa Mh,.
141,Sahibinden satılık Daire 2+1,95,2+1,1.080.000,ArnavutköyHadımköy Mh,.
142,ARNAVUTKÖY MERKEZ E YÜRÜME MESAFESİNDE 2+1 ŞİRİN HARİKA DUBLEX,125,2+1,850.000,ArnavutköyAnadolu Mah,.
143,HADIMKÖY TOKİ AKPINAR KONUTLARI,120,3+1,1.275.000,ArnavutköyHadımköy Mh,.
144,Arnavtköy merkeze yakın satılık 2+1 80 m daire,85,2+1,900.000,ArnavutköyAnadolu Mah,.
145,TEKBAŞLAR'DAN BOLLUCA MAVİGÖL'DE ASANSÖRLÜ DUBLEKS DAİRE 4+2,210,4+2,1.550.000,,
146,150m² 3+2 Ters Dubleks Geniş ve Kullanışlı,150,3+2,875.000,ArnavutköyYunus Emre Mah,.
147,merkez mahallesi iskanlı 2.normal kat 2+1 daire,95,2+1,920.000,ArnavutköyArnavutköy Merkez Mh,.
148,Park Manzaralı- Ara kat- Asansörlü 2+1 Daire,90,2+1,1.220.000,ArnavutköyHadımköy Mh,.
149,Hadimkoy Vefa Konutları 2+1,115,2+1,1.550.000,ArnavutköyHadımköy Mh,.
150,Acil sahibinden satilik cadde üstü daire,110,2+1,1.100.000,Hadımköy(Boyalık)Hastane Mah,.
151,ARNAVUTKÖY KARLIBAYIR MERKEZDE TEK DAİRE ÜZERİ BİNADA 2+1 120 M2,130,2+1,1.360.000,HaraççıKarlıbayır Mh,.
152,Arnavutköy'de 80 M2 satılık daire,90,2+1,850.000,ArnavutköyAnadolu Mah,.
153,Arnavutköy Haraççı'da 2+2 Ters Dublex Daire,160,2+2,760.000,HaraççıHaraççı Mh,.
154,Arnavutköy Yunus Emre mahallesinde satılık 3+2 dubleks,140,3+2,1.300.000,ArnavutköyYunus Emre Mah,.
155,Kiptaş deliklikaya Sahibinden Eşyalı daire,84,2+1,1.300.000,Hadımköy(Boyalık)Deliklikaya Mah,.
156,"HADIMKÖY NAZMİ AKPINAR KONUTLARI ' KİRACILI' SATILIK 3,5+1 DAİRE",160,3.5+1,1.650.000,KöylerYassıören Mh,.
157,HADIMKÖYDE SATILIK OTOPARKLI 2+1 YÜKSEK GİRİŞ,70,2+1,650.000,Hadımköy(Boyalık)Hastane Mah,.
158,ARNAVUTKÖY MERKEZ MAH DEVLET HASTANESİ YANINDA 2+1 ARAKAT DAİRE,120,2+1,1.250.000,ArnavutköyArnavutköy Merkez Mh,.
159,Bahçeşehir Soyak Konforia Satılık Daire,105,2+1,1.900.000,Hadımköy(Boyalık)Deliklikaya Mah,.
160,DERİN'DEN NEO BOLLUCA 1'DE SATILIK FULL EŞYALI 1+1,55,1+1,1.050.000,BoğazköyAtatürk Mh,.
161,ARNAVUTKÖY BOLLUCA MERKEZDE SATILIK. 2+1. 90.M.21.Cİ KAT,90,2+1,975.000,,
162,MERKEZE YAKIN SIFIR 145 METRE TERS DUBLEKS,145,4+1,1.015.000,ArnavutköyAnadolu Mah,.
163,Avm arkası,135,2+1,1.750.000,ArnavutköyArnavutköy Merkez Mh,.
164,Arnavutköy'de Merkezi Lokasyonda 2+1 90 M2 Bahçe Katı Daire,105,2+1,525.000,ArnavutköyAnadolu Mah,.
165,TAŞOLUK METRO GİRİŞİNE YAKIN 2+1 LÜKS DAİRE,95,2+1,1.071.000,TaşolukTaşoluk Mh,.
166,ANADOLU MAH MERDİVENLİ LÜKS TERS DUBLEKS,120,2+1,950.000,ArnavutköyAnadolu Mah,.
167,HADIMKÖY KİPTAŞ 2.ETAP ÖMERLİ SATILIK DAİRE TURYAP,95,2+1,1.050.000,Hadımköy(Boyalık)Ömerli Mh,.
168,Arnavutköy Nenehatun Mahallesinde 1.KAT 2+1/ Satılık Ara kat,95,2+1,950.000,ArnavutköyNenehatun Mah,.
169,BOLLUCADA 5+2 ULTRA LUKS DUBLEKS ASANSORLU CIFT TERASLI,250,5+2,1.800.000,,
170,MERKEZDE 3+1 135 M2 ULTRA LUKS DAIRE,140,3+1,1.530.000,Arnavutköyİslambey Mh,.
171,H-MAK İNŞAATTAN MERKEZDE SATILIK DAİRE,110,2+1,1.500.000,ArnavutköyAnadolu Mah,.
172,HAS EVİM YAPIDAN SATILIK 100 METRE ARA KAT DAİRE,100,2+1,1.040.000,ArnavutköyAnadolu Mah,.
173,Anadolu Mah. Uygun Fiyata 2+1 Ara kat Daire,90,2+1,800.000,ArnavutköyAnadolu Mah,.
174,Arnavutköy Vadipark'a Komşu Butik Sitede (Açıklamayı Okuyunuz),100,3+1,1.081.000,ArnavutköyMustafa Kemal Paşa Mh,.
175,ÇALIŞKAN GYO DAN HARİKA KONUM DA 2+1 YÜKSEK GİRİŞ DAİRE,100,2+1,785.000,Arnavutköyİslambey Mh,.
